"Activity Name","Course Code","Activity Host Key","Actvity Type","Day Name","Start Time","End Time","Location Name"
"MATH1 Fundamentals of Algebra and Calculus Initial Meeting/01","MATH07003_SV1_SEM1","#SPLUSDC2BFD","Tutorial - Online Live","Thursday","10:00","10:50",""
"MATH1 Fundamentals of Algebra and Calculus Initial Meeting/02","MATH07003_SV1_SEM1","#SPLUS648763","Tutorial - Online Live","Thursday","11:10","12:00",""
"MATH1 Fundamentals of Algebra and Calculus Initial Meeting/03","MATH07003_SV1_SEM1","#SPLUSDC2BFF","Tutorial - Online Live","Friday","10:00","10:50",""
"MATH1 Fundamentals of Algebra and Calculus Initial Meeting/04","MATH07003_SV1_SEM1","#SPLUS648765","Tutorial - Online Live","Friday","11:10","12:00",""
"MATH1 ILA tutorial (online)/01","MATH08057_SV1_SEM1","#SPLUS1BB1DE","Tutorial - Online Live","Monday","17:10","18:00",""
"MATH1 ILA tutorial (online)/02","MATH08057_SV1_SEM1","#SPLUS1BB212","Tutorial - Online Live","Tuesday","10:00","10:50",""
"MATH1 ILA tutorial (online)/03","MATH08057_SV1_SEM1","#SPLUS1BB214","Tutorial - Online Live","Tuesday","12:10","13:00",""
"MATH1 ILA tutorial (online)/04","MATH08057_SV1_SEM1","#SPLUS1BB218","Tutorial - Online Live","Tuesday","17:10","18:00",""
"MATH1 ILA tutorial (online)/05","MATH08057_SV1_SEM1","#SPLUS1BB216","Tutorial - Online Live","Tuesday","15:10","16:00",""
"MATH1 ILA tutorial (online)/06","MATH08057_SV1_SEM1","#SPLUS1BB252","Tutorial - Online Live","Wednesday","10:00","10:50",""
"MATH1 ILA tutorial (online)/07","MATH08057_SV1_SEM1","#SPLUS1BB258","Tutorial - Online Live","Wednesday","17:10","18:00",""
"MATH1 ILA tutorial (online)/08","MATH08057_SV1_SEM1","#SPLUS1BB254","Tutorial - Online Live","Wednesday","12:10","13:00",""
"MATH1 ILA tutorial (online)/09","MATH08057_SV1_SEM1","#SPLUS1BB256","Tutorial - Online Live","Monday","15:10","16:00",""
"MATH1 ILA tutorial (SoM)/10","MATH08057_SV1_SEM1","#SPLUS1BB1D8","Tutorial","Monday","15:10","16:00","2.03"
"MATH1 ILA tutorial (SoM)/11","MATH08057_SV1_SEM1","#SPLUS1BB1DA","Tutorial","Monday","16:10","17:00","2.03"
"MATH1 ILA tutorial (SoM)/12","MATH08057_SV1_SEM1","#SPLUS1BB1DC","Tutorial","Monday","17:10","18:00","2.03"
"MATH1 ILA tutorial (SoM)/13","MATH08057_SV1_SEM1","#SPLUS1BB202","Tutorial","Tuesday","9:00","9:50","2.03"
"MATH1 ILA tutorial (SoM)/14","MATH08057_SV1_SEM1","#SPLUS1BB204","Tutorial","Tuesday","10:00","10:50","2.03"
"MATH1 ILA tutorial (SoM)/15","MATH08057_SV1_SEM1","#SPLUS1BB206","Tutorial","Tuesday","11:10","12:00","2.03"
"MATH1 ILA tutorial (SoM)/16","MATH08057_SV1_SEM1","#SPLUS1BB208","Tutorial","Tuesday","12:10","13:00","2.03"
"MATH1 ILA tutorial (SoM)/17","MATH08057_SV1_SEM1","#SPLUS1BB20A","Tutorial","Tuesday","14:10","15:00","2.03"
"MATH1 ILA tutorial (SoM)/18","MATH08057_SV1_SEM1","#SPLUS1BB20C","Tutorial","Tuesday","15:10","16:00","2.03"
"MATH1 ILA tutorial (SoM)/19","MATH08057_SV1_SEM1","#SPLUS1BB20E","Tutorial","Tuesday","16:10","17:00","2.03"
"MATH1 ILA tutorial (SoM)/20","MATH08057_SV1_SEM1","#SPLUS1BB210","Tutorial","Tuesday","17:10","18:00","2.03"
"MATH1 ILA tutorial (SoM)/21","MATH08057_SV1_SEM1","#SPLUS1BB1D6","Tutorial","Monday","14:10","15:00","2.03"
"MATH1 ILA tutorial (SoM)/22","MATH08057_SV1_SEM1","#SPLUS1BB242","Tutorial","Wednesday","9:00","9:50","2.03"
"MATH1 ILA tutorial (SoM)/23","MATH08057_SV1_SEM1","#SPLUS1BB244","Tutorial","Wednesday","10:00","10:50","2.03"
"MATH1 ILA tutorial (SoM)/24","MATH08057_SV1_SEM1","#SPLUS1BB246","Tutorial","Wednesday","11:10","12:00","2.03"
"MATH1 ILA tutorial (SoM)/25","MATH08057_SV1_SEM1","#SPLUS1BB248","Tutorial","Wednesday","12:10","13:00","2.03"
"MATH1 ILA tutorial (SoM)/26","MATH08057_SV1_SEM1","#SPLUS1BB24A","Tutorial","Wednesday","14:10","15:00","2.03"
"MATH1 ILA tutorial (SoM)/27","MATH08057_SV1_SEM1","#SPLUS1BB24C","Tutorial","Wednesday","15:10","16:00","2.03"
"MATH1 ILA tutorial (SoM)/28","MATH08057_SV1_SEM1","#SPLUS1BB24E","Tutorial","Wednesday","16:10","17:00","2.03"
"MATH1 ILA tutorial (SoM)/29","MATH08057_SV1_SEM1","#SPLUS1BB250","Tutorial","Wednesday","17:10","18:00","2.03"
